title,authors,venue,year,citations,type,ranking,impact_factor
VRESCo–Vienna Runtime Environment for Service-oriented Computing,"W Hummer, P Leitner, A Michlmayr, F Rosenberg, S Dustdar","Service Engineering: European Research Results, 299-324",2010,15,Book Chapter,,
A step-by-step debugging technique to facilitate mashup development and maintenance,"W Hummer, P Leitner, S Dustdar",Proceedings of the 3rd and 4th International Workshop on Web APIs and …,2010,11,Workshop,,
Selective service provenance in the VRESCo runtime,"A Michlmayr, F Rosenberg, P Leitner, S Dustdar","International Journal of Web Services Research (IJWSR) 7 (2), 65-86",2010,9,Journal,,1.2
Event Processing in Web Service Runtime Environments,"A Michlmayr, P Leitner, F Rosenberg, S Dustdar","Principles and Applications of Distributed Event-Based Systems, 284-306",2010,4,Book Chapter,,
Monitoring and analyzing influential factors of business process performance,"B Wetzstein, P Leitner, F Rosenberg, I Brandic, S Dustdar, F Leymann",2009 IEEE International Enterprise Distributed Object Computing Conference …,2009,188,Conference,B,
Runtime prediction of service level agreement violations for composite services,"P Leitner, B Wetzstein, F Rosenberg, A Michlmayr, S Dustdar, F Leymann","European Conference on a Service-Based Internet, 176-186",2009,172,Conference,,
Comprehensive qos monitoring of web services and event-based sla violation detection,"A Michlmayr, F Rosenberg, P Leitner, S Dustdar",Proceedings of the 4th international workshop on middleware for service …,2009,168,Workshop,,
An end-to-end approach for QoS-aware service composition,"F Rosenberg, P Celikovic, A Michlmayr, P Leitner, S Dustdar",2009 IEEE international enterprise distributed object computing conference …,2009,128,Conference,B,
Daios: Efficient dynamic web service invocation,"P Leitner, F Rosenberg, S Dustdar","IEEE Internet Computing 13 (3), 72-80",2009,100,Journal,,5.0
Towards composition as a service-a quality of service driven approach,"F Rosenberg, P Leitner, A Michlmayr, P Celikovic, S Dustdar","2009 IEEE 25th International Conference on Data Engineering, 1733-1740",2009,90,Workshop,,
VieSLAF Framework: Enabling Adaptive and Versatile SLA-Management,"I Brandic, D Music, P Leitner, S Dustdar","International Workshop on Grid Economics and Business Models, 60-73",2009,86,Workshop,,
Service provenance in QoS-aware web service runtimes,"A Michlmayr, F Rosenberg, P Leitner, S Dustdar","2009 IEEE International Conference on Web Services, 115-122",2009,41,Conference,A,
Selecting web services based on past user experiences,"P Leitner, A Michlmayr, F Rosenberg, S Dustdar","2009 IEEE Asia-Pacific Services Computing Conference (APSCC), 205-212",2009,22,Conference,C,
Ensuring cost-optimal sla conformance for composite service providers,P Leitner,"ICSOC/ServiceWave 2009 PhD Symposium, 43",2009,12,Workshop,,
End-to-end versioning support for web services,"P Leitner, A Michlmayr, F Rosenberg, S Dustdar","2008 IEEE International Conference on Services Computing 1, 59-66",2008,104,Conference,B,
Advanced event processing and notifications in service runtime environments,"A Michlmayr, F Rosenberg, P Leitner, S Dustdar",Proceedings of the second international conference on Distributed event …,2008,65,Conference,C,
Integrated metadata support for web service runtimes,"F Rosenberg, P Leitner, A Michlmayr, S Dustdar","2008 12th Enterprise Distributed Object Computing Conference Workshops, 361-368",2008,26,Workshop,,
Towards flexible interface mediation for dynamic service invocations,"P Leitner, A Michlmayr, S Dustdar",Proceedings of the 3rd Workshop on Emerging Web Services Technology (WEWST …,2008,18,Book Chapter,,
Publish/subscribe in the VRESCo SOA runtime,"A Michlmayr, P Leitner, F Rosenberg, S Dustdar",Proceedings of the second international conference on Distributed event …,2008,16,Conference,C,
A Mediator-Based Approach to Resolving Interface Heterogeneity of Web Services,"P Leitner, F Rosenberg, A Michlmayr, A Huber, S Dustdar","Emerging Web Services Technology Volume III, 55-74",2008,4,Book Chapter,,
Modelling behaviour and distribution for the management of next generation networks,"C Fahy, MP de Leon, S van der Meer, R Marin, J Serrat, P Leitner, S Collins, B Baesjou","Advanced Autonomic Networking and Communication, 43-62",2008,2,Book Chapter,,
Fault management based on peer-to-peer paradigms; a case study report from the celtic project madeira,"M Leitner, P Leitner, M Zach, S Collins, C Fahy",2007 10th IFIP/IEEE International Symposium on Integrated Network Management …,2007,14,Conference,B,
Securing the Madeira network management system,"R Marín, J Vivero, P Leitner, A Neppach, M Zach, D Ortega, B Baesjou, C Fahy","2007 15th International Conference on Software, Telecommunications and …",2007,4,Conference,,
CAM05-2: A Distributed Policy Based Solution in a Fault Management Scenario,"R Marin, J Vivero, H Nguyen, J Serrat, P Leitner, M Zach, C Fahy","IEEE Globecom 2006, 1-5",2006,4,Conference,C,
