title,authors,venue,year,citations,ranking
The migration journey towards microservices,"H Michael Ayas, P Leitner, R Hebig","International Conference on Product-Focused Software Process Improvement, 20-35",2021.0,13,
Search-based scheduling of experiments in continuous deployment,"G Schermann, P Leitner",2018 IEEE International Conference on Software Maintenance and Evolution …,2018.0,13,
State of the art and research challenges in the area of autonomous control for a reliable internet of services,"R Van der Mei, H Van den Berg, I Ganchev, K Tutschku, P Leitner, ...","Autonomous Control for a Reliable Internet of Services: Methods, Models …",2018.0,13,
SPEEDL-a declarative event-based language to define the scaling behavior of cloud applications,"R Zabolotnyi, P Leitner, S Schulte, S Dustdar","2015 IEEE World Congress on Services, 71-78",2015.0,13,
Profiling-based task scheduling for factory-worker applications in infrastructure-as-a-service clouds,"R Zabolotnyi, P Leitner, S Dustdar",2014 40th EUROMICRO Conference on Software Engineering and Advanced …,2014.0,13,
A note on software tools and techniques for monitoring and prediction of cloud services,"R Ranjan, R Buyya, P Leitner, A Haller, S Tai","Software-Practice and Experience 44 (7), 771-775",2014.0,13,
"End-to-end support for QoS-aware service selection, invocation and mediation in VRESCo","A Michlmayr, F Rosenberg, P Leitner, S Dustdar","Technical University Vienna, Tech. Rep. TUV-184-2009-03, Jun, 1841-2009",2009.0,13,
Dependency management bots in open-source systems—prevalence and adoption,"L Erlenhov, FG de Oliveira Neto, P Leitner","PeerJ Computer Science 8, e849",2022.0,12,
Ensuring cost-optimal sla conformance for composite service providers,P Leitner,"ICSOC/ServiceWave 2009 PhD Symposium, 43",2009.0,12,
Studying the impact of ci on pull request delivery time in open source projects—a conceptual replication,"Y Guo, P Leitner","PeerJ Computer Science 5, e245",2019.0,11,
A step-by-step debugging technique to facilitate mashup development and maintenance,"W Hummer, P Leitner, S Dustdar",Proceedings of the 3rd and 4th International Workshop on Web APIs and …,2010.0,11,
Machine learning systems are bloated and vulnerable,"H Zhang, M Alhanahnah, FA Ahmed, D Fatih, P Leitner, A Ali-Eldin",Proceedings of the ACM on Measurement and Analysis of Computing Systems 8 (1 …,2024.0,10,
Triggerbench: A performance benchmark for serverless function triggers,"J Scheuner, M Bertilsson, O Grönqvist, H Tao, H Lagergren, JP Steghöfer, ...","2022 IEEE International Conference on Cloud Engineering (IC2E), 96-103",2022.0,10,
Non-intrusive policy optimization for dependable and adaptive service-oriented systems,"C Inzinger, B Satzger, W Hummer, P Leitner, S Dustdar","Proceedings of the 27th Annual ACM Symposium on Applied Computing, 504-510",2012.0,10,
Performance benchmarking of infrastructure-as-a-service (IaaS) clouds with Cloud WorkBench,"J Scheuner, P Leitner",Companion of the 2019 ACM/SPEC International Conference on Performance …,2019.0,9,
Performance testing in the cloud. How bad is it really?,"C Laaber, J Scheuner, P Leitner","PeerJ Preprints 6, e3507v1",2018.0,9,
Selective service provenance in the VRESCo runtime,"A Michlmayr, F Rosenberg, P Leitner, S Dustdar","International Journal of Web Services Research (IJWSR) 7 (2), 65-86",2010.0,9,
